location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Afghanistan,153220.0,7118.0,3846.325,178.685,0.63,1979652.0,773002.0,,4.97,1.94,,39835428.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Africa,7790394.0,196278.0,5671.985,142.905,,103848842.0,68875046.0,38421883.0,7.56,5.01,2.8,1373486472.0,,,,,,,,,,,,,,
Albania,146387.0,2498.0,50953.833,869.494,1.28,1472316.0,830396.0,641920.0,51.25,28.9,22.34,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Algeria,196080.0,5269.0,4394.774,118.095,0.79,,,,,,,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
Andorra,15033.0,130.0,194340.306,1680.585,0.71,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
Angola,47544.0,1217.0,1401.089,35.864,1.08,,,,,,,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
Antigua and Barbuda,1715.0,44.0,17370.959,445.669,1.3,75069.0,41061.0,34008.0,76.04,41.59,34.45,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
Argentina,5185620.0,111812.0,113705.217,2451.704,0.76,42260571.0,27873340.0,14387231.0,92.66,61.12,31.55,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
Armenia,242135.0,4844.0,81578.355,1632.005,1.1,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
Australia,55093.0,1012.0,2136.363,39.243,1.39,19362666.0,12192256.0,7170410.0,75.08,47.28,27.8,25788217.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
Austria,688305.0,10772.0,76114.068,1191.188,1.18,10462919.0,5508966.0,5210007.0,115.7,60.92,57.61,9043072.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
Azerbaijan,424891.0,5636.0,41560.863,551.287,1.07,6805740.0,4113716.0,2692024.0,66.57,40.24,26.33,10223344.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
Bahamas,18139.0,354.0,45700.076,891.881,1.19,,,,,,,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
Bahrain,272540.0,1388.0,155889.023,793.916,0.95,2489109.0,1146939.0,1088446.0,142.37,65.6,62.26,1748295.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
Bangladesh,1500618.0,26195.0,9023.37,157.513,0.65,26471819.0,18580195.0,7891624.0,15.92,11.17,4.75,166303494.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
Barbados,5032.0,50.0,17489.955,173.787,1.46,,,,,,,287708.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
Belarus,481532.0,3780.0,50994.258,400.302,1.15,,,,,,,9442867.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
Belgium,1184664.0,25380.0,101842.33,2181.849,1.09,16212621.0,8428863.0,8141780.0,139.38,72.46,69.99,11632334.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
Belize,16353.0,362.0,40386.254,894.015,1.27,,,,,,,404915.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716
Benin,13366.0,128.0,1073.485,10.28,0.3,,,,,,,12451031.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
Bhutan,2596.0,3.0,3328.632,3.847,0.49,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654
Bolivia,490879.0,18452.0,41484.125,1559.376,0.87,6019660.0,4014955.0,2766347.0,50.87,33.93,23.38,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718
Bosnia and Herzegovina,213853.0,9803.0,65529.55,3003.868,1.5,,,,,,,3263459.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
Botswana,156927.0,2261.0,65461.531,943.168,1.17,,,,,,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
Brazil,20776870.0,580413.0,97091.153,2712.293,0.88,,,,,,,213993441.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
Brunei,2712.0,9.0,6142.25,20.384,1.28,327825.0,231613.0,96212.0,74.25,52.46,21.79,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
Bulgaria,455742.0,18896.0,66081.6,2739.879,1.16,2312605.0,,1172184.0,33.53,,17.0,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
Burkina Faso,13777.0,171.0,640.877,7.955,1.18,108799.0,108799.0,13273.0,0.51,0.51,0.06,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
Burundi,11994.0,38.0,978.668,3.101,1.18,,,,,,,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433
Cambodia,93055.0,1903.0,5491.122,112.295,0.92,19085923.0,10801691.0,8525970.0,112.62,63.74,50.31,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
Cameroon,83425.0,1350.0,3064.362,49.588,0.17,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
Canada,1507092.0,26989.0,39589.562,708.97,1.25,53343798.0,27928378.0,25415420.0,140.13,73.36,66.76,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929
Cape Verde,35354.0,313.0,62918.557,557.038,1.2,309001.0,236158.0,72843.0,54.99,42.03,12.96,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
Central African Republic,11296.0,100.0,2295.941,20.325,0.09,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397
Chad,4992.0,174.0,295.123,10.287,1.09,,,,,,,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
Chile,1638675.0,36937.0,85292.74,1922.564,0.83,29039559.0,14425613.0,13661790.0,151.15,75.09,71.11,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
China,94961.0,4636.0,65.753,3.21,0.77,2067589000.0,,,143.16,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
Colombia,4909086.0,124945.0,95757.446,2437.198,0.74,35546165.0,23600147.0,14722990.0,69.34,46.03,28.72,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
Comoros,4068.0,147.0,4578.73,165.456,0.81,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
Congo,13588.0,183.0,2401.973,32.349,0.67,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
Costa Rica,463726.0,5506.0,90235.691,1071.404,1.19,,,,,,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
Cote d'Ivoire,55669.0,441.0,2057.728,16.301,1.21,1353553.0,1353553.0,,5.0,5.0,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
Croatia,373998.0,8334.0,91628.963,2041.818,1.3,,,,,,,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
Cuba,652855.0,5303.0,57685.453,468.566,0.86,14115595.0,5552931.0,3916641.0,124.72,49.07,34.61,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
Cyprus,113875.0,503.0,128236.891,566.438,0.84,,,,,,,888005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
Czechia,1679189.0,30404.0,156574.265,2834.99,1.13,11480189.0,5948434.0,5733175.0,107.05,55.47,53.46,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
Democratic Republic of Congo,54863.0,1059.0,593.897,11.464,0.94,97818.0,83081.0,14737.0,0.11,0.09,0.02,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
Denmark,347028.0,2586.0,59695.505,444.842,0.85,8573813.0,4408373.0,4209909.0,147.49,75.83,72.42,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
Djibouti,11750.0,157.0,11724.242,156.656,1.44,,,,,,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
Dominica,1638.0,4.0,22695.782,55.423,0.52,,,,,,,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742
Dominican Republic,350173.0,4008.0,31968.426,365.903,1.01,11152044.0,5815574.0,4658577.0,101.81,53.09,42.53,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
Ecuador,501201.0,32244.0,28018.097,1802.501,0.56,19512448.0,10699102.0,8813346.0,109.08,59.81,49.27,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759
Egypt,288441.0,16736.0,2766.599,160.524,1.38,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
El Salvador,94060.0,2918.0,14429.7,447.649,0.93,6298361.0,3539933.0,2758428.0,96.62,54.31,42.32,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
Equatorial Guinea,9477.0,126.0,6536.353,86.903,1.35,,,,,,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
Eritrea,6642.0,38.0,1844.251,10.551,0.73,,,,,,,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
Estonia,141956.0,1292.0,107121.405,974.956,1.11,1273304.0,727739.0,545565.0,96.08,54.92,41.17,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
Eswatini,43371.0,1101.0,36994.325,939.124,0.58,,,,,,,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
Ethiopia,308134.0,4675.0,2614.047,39.66,1.06,2451950.0,2451950.0,,2.08,2.08,,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
Fiji,46716.0,496.0,51740.006,549.342,0.78,825552.0,558944.0,266608.0,91.43,61.91,29.53,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
Finland,127182.0,1029.0,22922.445,185.46,0.92,6827041.0,4022419.0,2804622.0,123.05,72.5,50.55,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
France,6835022.0,114926.0,101163.291,1700.988,0.85,87942291.0,48573962.0,40376534.0,130.16,71.89,59.76,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901
Gabon,25888.0,166.0,11360.221,72.844,1.18,,,,,,,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703
Gambia,9698.0,319.0,3899.576,128.27,0.85,,,,,,,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496
Georgia,549811.0,7408.0,138151.347,1861.413,0.84,1210746.0,802083.0,408663.0,30.42,20.15,10.27,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812
Germany,3965681.0,92229.0,47266.493,1099.267,1.33,101942492.0,54331242.0,50469036.0,121.5,64.76,60.15,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947
Ghana,119436.0,1036.0,3763.882,32.648,1.19,,,,,,,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611
Greece,587964.0,13622.0,56694.47,1313.502,0.93,11408609.0,6056183.0,5738106.0,110.01,58.4,55.33,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888
Grenada,461.0,2.0,4079.105,17.697,3.51,,,,,,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
Guatemala,470277.0,11926.0,25768.789,653.484,1.02,4607145.0,3352959.0,1254186.0,25.24,18.37,6.87,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
Guinea,29501.0,337.0,2185.707,24.968,1.08,1223951.0,831183.0,392768.0,9.07,6.16,2.91,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
Guinea-Bissau,5799.0,119.0,2877.216,59.043,0.97,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
Guyana,25548.0,622.0,32325.778,787.014,1.22,474491.0,313469.0,161022.0,60.04,39.66,20.37,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
Haiti,20896.0,586.0,1810.481,50.772,1.04,35741.0,29332.0,6750.0,0.31,0.25,0.06,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51
Honduras,338757.0,8850.0,33663.639,879.46,1.07,,,,,,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634
Hong Kong,12112.0,212.0,1603.644,28.069,,7588397.0,4140055.0,3448342.0,100.47,54.81,45.66,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
Hungary,812337.0,30058.0,84318.387,3119.939,1.62,11603140.0,5772010.0,,120.44,59.91,,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
Iceland,10789.0,33.0,31421.831,96.109,0.84,527448.0,279365.0,263695.0,153.61,81.36,76.8,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
India,32810845.0,439020.0,23547.174,315.069,1.07,644799225.0,497002083.0,147797142.0,46.27,35.67,10.61,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
Indonesia,4089801.0,133023.0,14798.721,481.336,0.62,98966499.0,63111288.0,35855211.0,35.81,22.84,12.97,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
Iran,4992063.0,107794.0,58710.288,1267.736,0.84,,,,,,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
Iraq,1888150.0,20830.0,45851.864,505.836,0.9,,,,,,,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674
Ireland,352447.0,5092.0,70731.244,1021.894,0.99,6836122.0,3688438.0,3380284.0,137.19,74.02,67.84,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955
Israel,1066352.0,7043.0,121317.312,801.272,1.18,13749456.0,5987518.0,5489182.0,156.43,68.12,62.45,8789776.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
Italy,4539991.0,129221.0,75205.917,2140.573,0.96,77910192.0,42651328.0,36697801.0,129.06,70.65,60.79,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
Jamaica,68131.0,1518.0,22913.022,510.516,1.22,542888.0,402601.0,144372.0,18.26,13.54,4.86,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
Japan,1491514.0,16080.0,11832.642,127.568,0.9,130900617.0,72392138.0,58508479.0,103.85,57.43,46.42,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
Jordan,797126.0,10411.0,77624.335,1013.826,1.02,6422943.0,3472046.0,2950897.0,62.55,33.81,28.74,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729
Kazakhstan,863581.0,12655.0,45463.696,666.229,0.9,11995502.0,6629678.0,5365824.0,63.15,34.9,28.25,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825
Kenya,235863.0,4726.0,4289.533,85.95,0.83,2773239.0,1968656.0,804583.0,5.04,3.58,1.46,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
Kosovo,144986.0,2503.0,75014.461,1295.03,1.32,825745.0,548855.0,276890.0,42.72,28.4,14.33,1932774.0,168.155,,,,9795.834,0.6,,,,,,,,
Kuwait,409860.0,2419.0,94687.532,558.847,0.61,,,,,,,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806
Kyrgyzstan,175734.0,2528.0,26512.492,381.392,0.67,1141442.0,685629.0,453130.0,17.22,10.34,6.84,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
