location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Laos,15015.0,14.0,2034.73,1.897,0.75,4238543.0,2443845.0,1794698.0,57.44,33.12,24.32,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613
Latvia,142637.0,2578.0,76401.737,1380.874,1.43,1511067.0,860975.0,763469.0,80.94,46.12,40.89,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866
Lebanon,602266.0,8053.0,88972.162,1189.662,0.91,2457930.0,1367317.0,1090613.0,36.31,20.2,16.11,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744
Lesotho,14395.0,403.0,6667.232,186.655,0.4,,,,,,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527
Liberia,5594.0,245.0,1079.879,47.295,0.39,,,,,,,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
Libya,308972.0,4247.0,44401.856,610.329,0.88,,,,,,,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724
Liechtenstein,3273.0,59.0,85559.68,1542.322,1.1,43139.0,22922.0,20484.0,112.77,59.92,53.55,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919
Lithuania,298825.0,4561.0,111093.06,1695.626,1.11,3168776.0,1659887.0,1508889.0,117.8,61.71,56.1,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882
Luxembourg,75760.0,830.0,119342.043,1307.47,1.22,763335.0,407226.0,356109.0,120.25,64.15,56.1,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916
Madagascar,42869.0,956.0,1508.02,33.63,0.69,,,,,,,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528
Malawi,60494.0,2177.0,3078.938,110.802,0.58,883432.0,683640.0,410484.0,4.5,3.48,2.09,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
Malaysia,1746254.0,16664.0,53278.118,508.418,0.98,34752340.0,19746236.0,15032301.0,106.03,60.25,45.86,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81
Maldives,81112.0,226.0,149207.167,415.732,1.16,686956.0,384444.0,302512.0,126.37,70.72,55.65,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74
Mali,14889.0,539.0,713.905,25.844,1.15,,,,,,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
Malta,36171.0,441.0,70294.463,857.036,0.99,797017.0,413985.0,412767.0,154.89,80.45,80.22,514564.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
Marshall Islands,4.0,,67.094,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
Mauritania,33580.0,715.0,7032.299,149.735,0.75,,,,,,,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546
Mauritius,10676.0,31.0,8383.67,24.344,1.36,,,,,,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
Mexico,3352410.0,259326.0,25735.858,1990.8,0.94,85375481.0,58008815.0,34282292.0,65.54,44.53,26.32,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
Moldova,267526.0,6401.0,66482.191,1590.696,1.2,1284162.0,,691040.0,31.91,,17.17,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
Monaco,3201.0,33.0,80996.964,835.02,0.87,,,,,,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
Mongolia,213820.0,937.0,64224.058,281.442,1.28,4333638.0,2239399.0,2094239.0,130.17,67.26,62.9,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
Montenegro,115385.0,1724.0,183719.157,2745.0,1.02,394420.0,210591.0,183829.0,62.8,33.53,29.27,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829
Morocco,860948.0,12649.0,23054.034,338.709,0.78,33721703.0,18701155.0,15020548.0,90.3,50.08,40.22,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686
Mozambique,146316.0,1864.0,4549.196,57.955,0.68,,,,,,,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
Myanmar,399282.0,15389.0,7285.368,280.79,1.01,,,,,,,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
Namibia,125046.0,3375.0,48329.87,1304.426,0.79,,,,,,,2587344.0,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646
Nepal,762647.0,10750.0,25700.052,362.259,0.83,9799013.0,5339252.0,4459761.0,33.02,17.99,15.03,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
Netherlands,1976440.0,18368.0,115089.337,1069.58,0.99,,,,,,,17173094.0,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944
New Zealand,3570.0,26.0,734.471,5.349,1.61,3502004.0,2290143.0,1211861.0,72.05,47.12,24.93,4860642.0,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931
Nicaragua,11735.0,200.0,1750.871,29.84,0.02,,,,,,,6702379.0,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
Niger,5849.0,199.0,232.742,7.919,1.12,,,,,,,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
Nigeria,192431.0,2469.0,910.267,11.679,1.07,4432282.0,2994933.0,1437349.0,2.1,1.42,0.68,211400704.0,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
North Macedonia,176494.0,5938.0,84744.469,2851.16,0.92,1253612.0,722579.0,531033.0,60.19,34.69,25.5,2082661.0,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774
Norway,160174.0,814.0,29305.685,148.931,1.38,6961714.0,3869020.0,3092694.0,127.37,70.79,56.58,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
Oceania,123253.0,1727.0,2851.761,39.958,,24626872.0,15642584.0,8983112.0,56.98,36.19,20.78,43219954.0,,,,,,,,,,,,,,
Oman,302300.0,4064.0,57874.447,778.041,0.72,,,,,,,5223376.0,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
Pakistan,1163688.0,25889.0,5167.355,114.96,0.99,56768446.0,43791885.0,17455249.0,25.21,19.45,7.75,225199929.0,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
Palau,2.0,,110.047,,,,,,,,,18174.0,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826
Palestine,342282.0,3680.0,65536.663,704.609,1.57,1392299.0,935756.0,456543.0,26.66,17.92,8.74,5222756.0,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708
Panama,457487.0,7061.0,104411.351,1611.518,0.83,4359910.0,2727201.0,1632709.0,99.51,62.24,37.26,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
Papua New Guinea,17838.0,192.0,1956.134,21.055,0.36,,,,,,,9119005.0,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
Paraguay,458528.0,15767.0,63511.191,2183.904,0.67,4059098.0,2285695.0,1773403.0,56.22,31.66,24.56,7219641.0,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728
Peru,2149591.0,198263.0,64437.311,5943.24,0.93,18855954.0,10523443.0,8332511.0,56.52,31.55,24.98,33359415.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
Philippines,1989857.0,33448.0,17919.067,301.206,1.13,33706295.0,,13958418.0,30.35,,12.57,111046910.0,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718
Poland,2888670.0,75345.0,76425.907,1993.412,1.28,36286614.0,19284686.0,18787636.0,96.0,51.02,49.71,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
Portugal,1037927.0,17743.0,102078.566,1744.997,0.89,14719449.0,8638934.0,7600174.0,144.76,84.96,74.75,10167923.0,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864
Qatar,232744.0,602.0,79420.609,205.424,0.85,4454401.0,2323543.0,2130858.0,152.0,79.29,72.71,2930524.0,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
Romania,1098765.0,34570.0,57443.439,1807.32,1.49,9771316.0,5246235.0,5135003.0,51.08,27.43,26.85,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
Russia,6820697.0,180009.0,46745.271,1233.682,0.95,80244526.0,43771190.0,36473336.0,55.0,30.0,25.0,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
Rwanda,87627.0,1089.0,6600.15,82.025,0.95,,,,,,,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543
Saint Kitts and Nevis,1091.0,3.0,20375.005,56.027,1.03,,,,,,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
Saint Lucia,8219.0,104.0,44571.342,563.988,1.43,,,,,,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
Saint Vincent and the Grenadines,2336.0,12.0,20994.167,107.847,0.97,,,,,,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
Samoa,3.0,,14.989,,,134265.0,92319.0,41946.0,67.08,46.13,20.96,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
San Marino,5331.0,90.0,156748.015,2646.281,1.01,,,,,,,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
Sao Tome and Principe,2608.0,37.0,11676.009,165.649,1.28,,,,,,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
Saudi Arabia,543318.0,8512.0,15373.728,240.856,0.39,37133188.0,22218040.0,14915148.0,105.07,62.87,42.2,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
Senegal,72805.0,1765.0,4233.758,102.638,0.49,,,,,,,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
Serbia,762933.0,7292.0,112120.249,1071.629,1.4,,,,,,,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806
Seychelles,20038.0,102.0,202588.212,1031.241,0.95,,,,,,,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
Sierra Leone,6367.0,121.0,782.058,14.862,0.71,,,,,,,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
Singapore,67620.0,55.0,11467.462,9.327,1.68,8890717.0,4601255.0,4434945.0,150.77,78.03,75.21,5896684.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
Slovakia,394923.0,12548.0,72320.604,2297.863,1.43,4555737.0,2383452.0,2172285.0,83.43,43.65,39.78,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
Slovenia,267198.0,4450.0,128539.493,2140.737,1.34,1897585.0,992573.0,905012.0,91.29,47.75,43.54,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917
Solomon Islands,20.0,,28.409,,,83441.0,62891.0,20550.0,11.85,8.93,2.92,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
Somalia,17466.0,977.0,1067.637,59.721,1.31,,,,,,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
South Africa,2777659.0,82261.0,46261.936,1370.058,0.83,12568525.0,9418185.0,5985293.0,20.93,15.69,9.97,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
South Korea,253445.0,2292.0,4939.949,44.674,0.96,43826835.0,29280843.0,15751140.0,85.42,57.07,30.7,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
South Sudan,11436.0,120.0,1004.799,10.544,0.99,,,,,,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
Spain,4855065.0,84340.0,103862.297,1804.249,0.77,66130220.0,36533328.0,33376693.0,141.47,78.15,71.4,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
Sri Lanka,440302.0,9185.0,20481.729,427.263,0.98,20126990.0,12423579.0,7703411.0,93.63,57.79,35.83,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782
Sudan,37709.0,2831.0,839.669,63.038,0.39,,,,,,,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
Suriname,29293.0,721.0,49498.309,1218.321,1.37,337124.0,202440.0,134684.0,56.97,34.21,22.76,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
Sweden,1126813.0,14692.0,110905.056,1446.04,1.24,12598988.0,6894288.0,5703510.0,124.0,67.86,56.14,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
Switzerland,779666.0,10899.0,89457.465,1250.532,1.03,9615905.0,4981785.0,4454717.0,110.33,57.16,51.11,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
Syria,27915.0,2013.0,1527.438,110.146,1.28,,,,,,,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
Taiwan,15995.0,835.0,670.509,35.003,0.82,10958966.0,10038004.0,920962.0,45.94,42.08,3.86,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,
Tajikistan,17252.0,125.0,1769.504,12.821,0.64,2808056.0,2009748.0,798308.0,28.8,20.61,8.19,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
Tanzania,1367.0,50.0,22.228,0.813,,,,,,,,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
Thailand,1204729.0,11589.0,17222.508,165.673,0.9,,,,,,,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
Timor,16682.0,67.0,12413.357,49.856,0.97,588299.0,389989.0,198310.0,43.78,29.02,14.76,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
Togo,21261.0,185.0,2507.713,21.821,1.21,,,,,,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
Trinidad and Tobago,44847.0,1291.0,31956.556,919.926,0.95,908632.0,509516.0,399116.0,64.75,36.31,28.44,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796
Tunisia,664034.0,23451.0,55633.975,1964.767,0.94,,,,,,,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
Turkey,6388301.0,56710.0,75118.714,666.841,0.8,94167554.0,48271065.0,37089601.0,110.73,56.76,43.61,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
Uganda,119915.0,3012.0,2544.695,63.917,0.18,,,,,,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
Ukraine,2384564.0,57004.0,54859.405,1311.437,1.19,9239171.0,5413770.0,3825401.0,21.26,12.45,8.8,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
United Arab Emirates,718370.0,2041.0,71901.114,204.282,0.93,18158991.0,,,181.75,,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
United Kingdom,6821356.0,132859.0,100009.451,1947.876,1.04,90997895.0,48087908.0,42909987.0,133.41,70.5,62.91,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932
United States,39198131.0,640189.0,117742.133,1922.98,1.1,370212027.0,205026070.0,174121529.0,110.08,60.96,51.77,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
Uruguay,384934.0,6032.0,110449.702,1730.771,1.11,5587408.0,2665770.0,2508312.0,160.32,76.49,71.97,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
Uzbekistan,156394.0,1082.0,4608.53,31.884,0.94,,,,,,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72
Vanuatu,4.0,1.0,12.72,3.18,,,,,,,,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
Vatican,27.0,,33251.232,,,,,,,,,812.0,,,,,,,,,,,,,75.12,
Venezuela,334343.0,4010.0,11647.574,139.697,1.01,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
Vietnam,462096.0,11064.0,4707.156,112.704,1.1,19966724.0,17347538.0,2619186.0,20.34,17.67,2.67,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704
Yemen,7869.0,1472.0,258.079,48.277,1.31,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
Zambia,206327.0,3602.0,10904.854,190.374,0.72,,,,,,,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584
Zimbabwe,124773.0,4419.0,8267.399,292.801,0.58,4219824.0,2582405.0,1637419.0,27.96,17.11,10.85,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
